,Unnamed: 0,mpg(연비),cylinders(실린더수),displacement(배기량),horsepower(출력),weight(차중),acceleration(가속능력),modelYear(출시년도),originNumber(제조국번호),name(모델명)
33,33,16.0,6,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom
32,32,19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin
31,31,25.0,4,98.0,?,2046.0,19.0,71,1,ford pinto
30,30,25.0,4,113.0,95.00,2228.0,14.0,71,3,toyota corona
29,29,28.0,4,140.0,90.00,2264.0,15.5,71,1,chevrolet vega 2300
41,41,12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw)
42,42,13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw)
43,43,13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw)
50,50,30.0,4,79.0,70.00,2074.0,19.5,71,2,peugeot 304
44,44,18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw)
55,55,26.0,4,91.0,70.00,1955.0,20.5,71,1,plymouth cricket
54,54,27.0,4,97.0,60.00,1834.0,19.0,71,2,volkswagen model 111
53,53,35.0,4,72.0,69.00,1613.0,18.0,71,3,datsun 1200
51,51,30.0,4,88.0,76.00,2065.0,14.5,71,2,fiat 124b
52,52,31.0,4,71.0,65.00,1773.0,19.0,71,3,toyota corolla 1200
49,49,28.0,4,116.0,90.00,2123.0,14.0,71,2,opel 1900
48,48,23.0,4,122.0,86.00,2220.0,14.0,71,1,mercury capri 2000
47,47,18.0,6,250.0,88.00,3139.0,14.5,71,1,ford mustang
46,46,19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird
45,45,22.0,4,140.0,72.00,2408.0,19.0,71,1,chevrolet vega (sw)
7,7,14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina
12,12,14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw)
11,11,15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo
10,10,14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340
9,9,15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se
8,8,15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl
14,14,22.0,6,198.0,95.00,2833.0,15.5,70,1,plymouth duster
6,6,14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii
5,5,14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala
4,4,15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500
3,3,17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino
2,2,16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst
13,13,24.0,4,113.0,95.00,2372.0,15.0,70,3,toyota corona mark ii
1,1,18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite
15,15,18.0,6,199.0,97.00,2774.0,15.5,70,1,amc hornet
16,16,21.0,6,200.0,85.00,2587.0,16.0,70,1,ford maverick
17,17,27.0,4,97.0,88.00,2130.0,14.5,70,3,datsun pl510
18,18,26.0,4,97.0,46.00,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan
19,19,25.0,4,110.0,87.00,2672.0,17.5,70,2,peugeot 504
20,20,24.0,4,107.0,90.00,2430.0,14.5,70,2,audi 100 ls
21,21,25.0,4,104.0,95.00,2375.0,17.5,70,2,saab 99e
22,22,26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002
23,23,21.0,6,199.0,90.00,2648.0,15.0,70,1,amc gremlin
24,24,10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250
25,25,10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20
26,26,11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200
27,27,9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d
0,0,15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320
